epoch,accuracy,loss
0,0.7149743437767029,0.5793030858039856
5,0.7338283061981201,0.5459195971488953
10,0.7356942892074585,0.5435896515846252
15,0.7357720136642456,0.5414178967475891
0,0.7121754288673401,0.19615089893341064
5,0.7348001599311829,0.18375444412231445
10,0.7358109354972839,0.18258580565452576
15,0.7354221940040588,0.1820523887872696
0,0.7226325869560242,0.5748701691627502
5,0.7331286072731018,0.5505331158638
10,0.7339838147163391,0.54887855052948
15,0.7356165647506714,0.547979474067688
0,0.715363085269928,0.19706086814403534
5,0.731301486492157,0.18456745147705078
10,0.7344114184379578,0.18374595046043396
15,0.7342170476913452,0.18295083940029144
0,0.717501163482666,0.5748008489608765
5,0.7320789694786072,0.5472404360771179
10,0.7348779439926147,0.5430311560630798
15,0.7362385392189026,0.5416508913040161
0,0.7143523693084717,0.19555118680000305
5,0.734061598777771,0.18317702412605286
10,0.7354610562324524,0.18197490274906158
15,0.7373270392417908,0.18121503293514252
0,0.717190146446228,0.5772632360458374
5,0.733750581741333,0.5494592785835266
10,0.735344409942627,0.5481263399124146
15,0.7355387806892395,0.5476396679878235
0,0.7215829491615295,0.1933020055294037
5,0.7338283061981201,0.18426674604415894
10,0.7346057891845703,0.1831568330526352
15,0.735188901424408,0.1828349232673645
0,0.7169180512428284,0.5747697949409485
5,0.7323899865150452,0.5479158163070679
10,0.7356942892074585,0.5446987748146057
15,0.7367050051689148,0.5424283146858215
0,0.7196003794670105,0.19416619837284088
5,0.7344114184379578,0.18352165818214417
10,0.7361218929290771,0.182173490524292
15,0.7368216514587402,0.18145965039730072
0,0.7211942076683044,0.5724725723266602
5,0.7324288487434387,0.5506251454353333
10,0.735499918460846,0.5482137203216553
15,0.7353832721710205,0.5470434427261353
0,0.719406008720398,0.19423408806324005
5,0.7331286072731018,0.18420439958572388
10,0.7347612977027893,0.18295742571353912
15,0.7373270392417908,0.18228814005851746
0,0.7168014049530029,0.573961615562439
5,0.733906090259552,0.5456634759902954
10,0.7367827892303467,0.5427412986755371
15,0.7379101514816284,0.540867805480957
0,0.7227880358695984,0.1924794614315033
5,0.7334007024765015,0.18369321525096893
10,0.7349168062210083,0.18261303007602692
15,0.7367438673973083,0.18168824911117554
0,0.7216607332229614,0.5709569454193115
5,0.7324677109718323,0.549654483795166
10,0.7351500391960144,0.5470374226570129
15,0.7357720136642456,0.5461124181747437
0,0.7205722332000732,0.19344742596149445
5,0.733439564704895,0.18408828973770142
10,0.7355776429176331,0.18292869627475739
15,0.7368605136871338,0.1821526288986206
0,0.7226325869560242,0.5682263374328613
5,0.7339838147163391,0.5456090569496155
10,0.7349168062210083,0.5427663326263428
15,0.736199676990509,0.54086834192276
0,0.7213497161865234,0.19342993199825287
5,0.7349556684494019,0.18307386338710785
10,0.7365884184837341,0.1817861944437027
15,0.7384932637214661,0.18120215833187103
0,0.7193671464920044,0.5728006362915039
5,0.7343336939811707,0.5499290227890015
10,0.7347224354743958,0.5474468469619751
15,0.7352666854858398,0.5461933612823486
0,0.7195615172386169,0.19354072213172913
5,0.7334007024765015,0.1839788854122162
10,0.7355776429176331,0.18267269432544708
15,0.7367827892303467,0.18206709623336792
0,0.7218939661979675,0.5709570646286011
5,0.7324677109718323,0.5467110872268677
10,0.7349168062210083,0.5433862209320068
15,0.7368993759155273,0.5410830974578857
0,0.7219716906547546,0.19199706614017487
5,0.7336728572845459,0.18347223103046417
10,0.7365106344223022,0.18207386136054993
15,0.7378323674201965,0.18125304579734802
0,0.7234100699424744,0.5694845914840698
5,0.7327787280082703,0.5489588975906372
