epoch,accuracy,loss
0,0.7157129645347595,0.576646625995636
5,0.7336728572845459,0.5462279319763184
10,0.7367438673973083,0.5427103638648987
15,0.7372881174087524,0.5406457781791687
20,0.7383377552032471,0.539439857006073
25,0.7392318248748779,0.5382406115531921
30,0.7405535578727722,0.5378322005271912
35,0.7379101514816284,0.5374901294708252
40,0.74008709192276,0.5364286303520203
45,0.7395428419113159,0.5359495878219604
50,0.7413310408592224,0.5353761911392212
55,0.7412921786308289,0.5355363488197327
60,0.7407479286193848,0.5348467230796814
65,0.7402814626693726,0.5345719456672668
70,0.7407090663909912,0.5342692732810974
75,0.7412144541740417,0.533578634262085
80,0.7415642738342285,0.5338484048843384
85,0.7409422993659973,0.5334875583648682
90,0.7417975664138794,0.5331918001174927
95,0.741680920124054,0.5333102345466614
